codigo,produto,consumo_2023,consumo_2024
220010,REJUNTE 1 KG BRANCO,3.0,4.0
290015,PASTILHA DE CLORO,8.0,0.0
290016,LIXA 100,10.0,14.0
290022,BARBANTE 320 METROS,4.0,2.0
290026,LIXA 180,51.0,40.0
290027,LIXA 220,11.0,23.0
290036,PARAFUSO,10.0,4.0
290046,PARAF. PHILLIPS ROSCAMÁQUINA 6 CM,22.0,2.0
290047,PARAF. SEXTAVADO ROSC. INTEIRA 1 CM,2.0,10.0
290048,PARAF. FENDA AUTO ATAR. 2 CM,27.0,0.0
290049,PARAF. PHILLIPS AUTO ATAR. C.CHATA 2 CM,2.0,0.0
290050,"PARAF. PHILLIPS AUTO ATAR. C.CHATA 2,5 CM",0.0,15.0
290053,ARRUELA,19.0,11.0
290066,"PARAF. PHILLIPS AUTO ATAR. 2,5 CM",50.0,15.0
290070,"PARABOLT 1/4 X 2""",0.0,23.0
290071,PARABOLT 3/8 X 2 1/2,26.0,8.0
290099,LIXA 80,6.0,6.0
290104,FITA PERFURADA 19MM X 25M,12.0,0.0
290110,ARRUELA 4 CM,20.0,0.0
290111,PLACA INOX PARA DOBRADIÇA BANHEIRO,11.0,0.0
290112,DOBRADIÇA PORTA BANHEIRO,7.0,0.0
290132,PEDRA GRANITO C/ PLACA PISO REMOV. 50X50 CM,35.0,14.0
290138,MASSA PRONTA 40KG,5.0,2.0
290142,BASE SUPORTE P/ PISO ELEVADO,2.0,22.0
290143,AJUSTE DE ALTURA SUPORTE P/ PISO ELEVADO,3.0,23.0
290145,MANTA ASFÁLTICA,1.0,0.0
290148,ALÇAPÃO 37 X 37 CM,1.0,0.0
290163,PARAFUSO SEXTAVADO ROSCA INTEIRA 3 CM,0.0,12.0
290164,"GRAMPO 1/8""",2.0,0.0
290165,"PARAF. PHILLIPS MADEIRA 6,5 CM",4.0,1.0
290169,ESFERA 14MM DO FECHO PORTA VAI VEM,1.0,0.0
290170,ARGAMASSA AC III 20KG,6.0,2.0
290172,MAÇANETAS,2.0,0.0
290177,REVESTIMENTO P/PAREDE BRANCO 32X54 CM,0.0,10.0
290178,PARAFUSO PARA GESSO 3.5 X 35,228.0,105.0
290185,SACOS DE LINHA,36.0,84.0
290200,"PLACA DE GESSO 12,5 X 1200mm",19.0,5.0
290202,MASSA PRONTA PARA DRYWALL 28KG,1.0,1.0
290203,DOBRADIÇA COM MOLA PARA PORTA CORTA-FOGO,9.0,31.0
290204,"ARAME 2,10 MM 1 KG",0.0,2.0
290206,GESSO COLA 5KG,1.0,1.0
290211,ARGAMASSA SUPER GRAUTE 25KG,1.0,3.0
290214,DISCO SUPORTE P/ PISO ELEVADO,7.0,15.0
290215,PARAFUSO MADEIRA PHILIPS 2 CM,0.0,2.0
290226,PLACA DE AÇO PORTÃO DOCA,1.0,0.0
290229,"FITA HELLERMAN 200MM X 3,6MM",449.0,0.0
290230,REBITE 412,75.0,61.0
290231,FINCAPINO MAGAZINADO AMARELO,0.0,0.0
290240,"PARAFUSO MADEIRA PHILIPS 4,0 X 20 A 30 - 3 CM",2.0,0.0
290242,"PARAF. FENDA AUTO ATAR. 3,5 CM",1.0,4.0
290244,"PORCA 1/4""",48.0,506.0
290245,BUCHA PARAFUSO TAM. 10,7.0,20.0
290246,PINO LISO AÇÃO INDIRETA C/ARRUELA CÔNICA,85.0,0.0
290247,BUCHA PARAFUSO TAM. 8,135.0,86.0
290248,BUCHA PARAFUSO TAM. 7,0.0,8.0
290249,BUCHA PARAFUSO TAM. 6,120.0,45.0
290251,BUCHA PARA GESSO,67.0,12.0
290253,"PARAF, PHILLIPS AUTO ATAR. 5 CM",8.0,1.0
290254,BUCHAS P/TIJOLO FURADO 10 MM,6.0,0.0
290255,BUCHAS P/TIJOLO FURADO 8 MM,8.0,0.0
290257,PARAFUSO PARA GESSO 6X25,443.0,439.0
290260,"PARAFUSO AUTO-PERFURANTE 8 X 1/2""",0.0,53.0
290262,"PARAFUSO MADEIRA PHILIPS 1,5 CM",0.0,4.0
290263,PARAFUSO PHILIPS MADEIRA 4 CM,8.0,6.0
290274,PARAFUSO CASTELO,11.0,20.0
290275,LIXA 150,17.0,16.0
